
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;godfond sverige & världen;goldman sachs asia equity income p;goldman sachs global equity impact opportunities p;goldman sachs global social impact equity p;goldman sachs greater china equity p;goldman sachs green bond p;goldman sachs japan equity p (former nn);goldman sachs protection p;handelsbanken amerika tema a1;handelsbanken asien tema a1;handelsbanken developed markets index criteria a1;handelsbanken emerging markets index a1;handelsbanken europa index criteria a1;handelsbanken global index criteria a1;handelsbanken global småbolag index criteria a1;handelsbanken global tema a1;handelsbanken hälsovård tema a1;
2023-05-30;-0,077;;-0,007;;-0,063;-0,031;-0,046;-0,015;-0,080;-0,039;;-0,045;-0,064;-0,077;-0,049;-0,045;0,026;
2023-05-31;-0,080;;-0,002;;-0,067;-0,029;-0,047;-0,014;-0,084;-0,045;;-0,050;-0,070;-0,081;-0,054;-0,048;0,022;
2023-06-01;-0,077;;-0,002;;-0,062;-0,028;-0,042;-0,014;-0,085;-0,044;;-0,049;-0,070;-0,081;-0,055;-0,047;0,024;
2023-06-02;-0,071;;0,003;;-0,051;-0,030;-0,034;-0,014;-0,083;-0,038;;-0,043;-0,066;-0,078;-0,050;-0,044;0,025;
2023-06-05;-0,069;;0,003;-0,025;-0,049;-0,031;-0,032;-0,015;-0,073;-0,032;;-0,036;-0,061;-0,069;-0,041;-0,036;0,036;
2023-06-07;-0,068;;0,001;-0,027;-0,040;-0,033;-0,029;-0,013;-0,075;-0,030;;-0,035;-0,061;-0,071;-0,034;-0,036;0,031;
2023-06-08;-0,069;;-0,001;-0,026;-0,042;-0,032;-0,039;-0,013;-0,081;-0,030;;-0,036;-0,062;-0,074;-0,037;-0,040;0,031;
2023-06-09;-0,068;;0,000;-0,029;-0,039;-0,030;-0,030;-0,013;-0,076;-0,028;;-0,032;-0,062;-0,070;-0,035;-0,037;0,033;
2023-06-12;-0,067;;0,003;-0,024;-0,038;-0,030;-0,027;-0,013;-0,078;-0,027;;-0,032;-0,062;-0,071;-0,035;-0,038;0,033;
2023-06-13;-0,066;;0,005;-0,023;-0,033;-0,031;-0,022;-0,013;-0,074;-0,024;;-0,029;-0,062;-0,068;-0,034;-0,034;0,033;
