
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;c worldwide asia 1a;c worldwide global equities 1a;c worldwide global equities ethical 1a;c worldwide healthcare select 1a;c worldwide sweden 1a;c worldwide sweden small cap 1a;captor dahlia green bond a;captor iris bond a;carnegie fastighetsfond norden a;carnegie indienfond a;carnegie likviditetsfond a;carnegie listed private equity a;carnegie obligationsfond a;carnegie småbolagsfond a;carnegie strategifond a;carnegie sverigefond a;cb save earth fund rc;
2023-01-23;0,002;-0,055;-0,054;0,037;-0,086;-0,089;-0,042;-0,033;0,008;-0,048;-0,038;-0,139;-0,024;-0,177;-0,088;-0,093;-0,011;
2023-01-24;0,001;-0,057;-0,056;0,034;-0,090;-0,088;-0,042;-0,032;0,012;-0,049;-0,038;-0,137;-0,023;-0,175;-0,087;-0,093;-0,014;
2023-01-25;-0,002;-0,061;-0,061;0,027;-0,092;-0,092;-0,040;-0,029;0,009;-0,054;-0,037;-0,142;-0,022;-0,176;-0,089;-0,094;;
2023-01-26;;;;;;;;;;;;;;;;;-0,012;
2023-01-27;0,009;-0,052;-0,052;0,037;-0,090;-0,084;-0,042;-0,032;0,012;-0,056;-0,037;-0,123;-0,024;-0,169;-0,088;-0,095;-0,007;
2023-01-30;0,004;-0,050;-0,050;0,036;-0,090;-0,087;-0,042;-0,032;0,003;-0,052;-0,037;-0,124;-0,024;-0,171;-0,088;-0,094;-0,010;
2023-01-31;0,001;-0,050;-0,051;0,036;-0,093;-0,093;-0,041;-0,031;-0,006;-0,047;-0,037;-0,124;-0,023;-0,175;-0,089;-0,097;-0,004;
2023-02-01;0,010;-0,046;-0,046;0,043;-0,084;-0,079;-0,041;-0,030;0,001;-0,049;-0,037;-0,121;-0,022;-0,168;-0,087;-0,093;0,000;
2023-02-02;0,004;-0,045;-0,040;0,045;-0,073;-0,063;-0,036;-0,021;0,027;-0,052;-0,037;-0,111;-0,017;-0,159;-0,081;-0,086;;
2023-02-03;;;;;;;;;;;;;;;;;0,009;
2023-02-06;0,003;-0,039;-0,035;0,050;-0,079;-0,070;-0,039;-0,028;0,004;-0,042;-0,037;-0,115;-0,021;-0,164;-0,082;-0,087;0,010;
2023-02-07;0,004;-0,038;-0,035;0,049;-0,080;-0,073;-0,039;-0,029;-0,000;-0,040;-0,037;-0,116;-0,022;-0,165;-0,082;-0,088;0,009;
2023-02-08;0,005;-0,037;-0,034;0,053;-0,080;-0,068;-0,040;-0,030;0,011;-0,039;-0,037;-0,112;-0,022;-0,159;-0,081;-0,087;0,005;
2023-02-09;0,007;-0,039;-0,039;0,046;-0,085;-0,076;-0,040;-0,033;-0,008;-0,049;-0,036;-0,125;-0,026;-0,166;-0,084;-0,091;0,003;
2023-02-10;-0,004;-0,051;-0,049;0,039;-0,091;-0,084;-0,042;-0,038;-0,003;-0,045;-0,037;-0,130;-0,029;-0,169;-0,087;-0,096;-0,003;
2023-02-13;-0,001;-0,044;-0,044;0,044;-0,084;-0,077;-0,043;-0,039;-0,004;-0,049;-0,036;-0,124;-0,031;-0,169;-0,083;-0,091;0,003;
2023-02-14;-0,004;-0,046;-0,046;0,041;-0,080;-0,071;-0,043;-0,040;0,006;-0,051;-0,036;-0,124;-0,031;-0,169;-0,082;-0,089;-0,001;
2023-02-15;-0,012;-0,049;-0,046;0,043;-0,079;-0,074;-0,044;-0,042;-0,007;-0,045;-0,036;-0,125;-0,032;-0,171;-0,084;-0,091;0,005;
2023-02-16;-0,010;-0,052;-0,049;0,040;-0,082;-0,077;-0,044;-0,042;-0,017;-0,042;-0,036;-0,125;-0,031;-0,172;-0,084;-0,091;0,003;
2023-02-17;-0,010;-0,051;-0,050;0,044;-0,080;-0,078;-0,044;-0,043;-0,015;-0,042;-0,036;-0,126;-0,032;-0,173;-0,083;-0,089;0,007;
2023-02-20;-0,012;-0,054;-0,053;0,043;-0,084;-0,079;-0,045;-0,048;-0,017;-0,051;-0,036;-0,130;-0,035;-0,173;-0,084;-0,091;;
2023-02-21;;;;;;;;;;;;;;;;;-0,007;
2023-02-22;-0,025;-0,063;-0,062;0,035;-0,091;-0,093;-0,047;-0,053;-0,032;-0,057;-0,036;-0,139;-0,038;-0,185;-0,088;-0,095;;
2023-02-23;;;;;;;;;;;;;;;;;-0,004;
2023-02-24;-0,033;-0,069;-0,066;0,031;-0,093;-0,097;-0,048;-0,055;-0,040;-0,056;-0,036;-0,138;-0,039;-0,195;-0,089;-0,096;-0,008;
2023-02-27;-0,028;-0,061;-0,060;0,033;-0,086;-0,089;-0,049;-0,057;-0,033;-0,058;-0,036;-0,134;-0,039;-0,184;-0,085;-0,090;-0,006;
2023-02-28;-0,034;-0,066;-0,065;0,030;-0,087;-0,086;-0,050;-0,057;-0,031;-0,060;-0,036;-0,133;-0,039;-0,181;-0,086;-0,091;-0,009;
2023-03-01;-0,022;-0,064;-0,064;0,030;-0,087;-0,087;-0,050;-0,058;-0,037;-0,054;-0,036;-0,130;-0,039;-0,181;-0,085;-0,091;-0,010;
2023-03-02;-0,021;-0,064;-0,061;0,037;-0,090;-0,090;-0,050;-0,057;-0,037;-0,055;-0,036;-0,132;-0,038;-0,181;-0,086;-0,093;;
2023-03-03;;;;;;;;;;;;;;;;;-0,001;
2023-03-06;-0,015;-0,051;-0,051;0,041;-0,082;-0,083;-0,050;-0,054;-0,034;-0,046;-0,035;-0,124;-0,038;-0,175;-0,082;-0,085;-0,001;
2023-03-07;-0,019;-0,054;-0,052;0,040;-0,082;-0,084;-0,049;-0,054;-0,035;-0,042;-0,035;-0,119;-0,036;-0,175;-0,083;-0,085;-0,005;
2023-03-08;-0,014;-0,049;-0,049;0,042;-0,086;-0,092;-0,049;-0,052;-0,045;-0,038;-0,035;-0,121;-0,036;-0,180;-0,086;-0,089;0,003;
2023-03-09;-0,018;-0,047;-0,048;0,043;-0,084;-0,091;-0,048;-0,052;-0,056;-0,042;-0,035;-0,120;-0,036;-0,183;-0,086;-0,089;0,001;
2023-03-10;-0,025;-0,056;-0,060;0,031;-0,096;-0,100;-0,045;-0,046;-0,069;-0,046;-0,035;-0,142;-0,032;-0,193;-0,092;-0,100;-0,003;
2023-03-13;-0,025;-0,062;-0,064;0,034;-0,103;-0,111;-0,041;-0,037;-0,064;-0,056;-0,035;-0,155;-0,027;-0,205;-0,094;-0,106;-0,008;
2023-03-14;-0,031;-0,061;-0,063;0,033;-0,096;-0,103;-0,044;-0,040;-0,055;-0,065;-0,035;-0,151;-0,030;-0,196;-0,091;-0,100;-0,002;
2023-03-15;-0,045;-0,076;-0,069;0,027;-0,108;-0,115;-0,042;-0,037;-0,062;-0,064;-0,036;-0,159;-0,028;-0,205;-0,097;-0,112;-0,014;
2023-03-16;-0,038;-0,066;-0,066;0,032;-0,105;-0,111;-0,044;-0,040;-0,071;-0,066;-0,036;-0,160;-0,029;-0,201;-0,097;-0,111;-0,009;
2023-03-17;-0,040;-0,065;-0,065;0,027;-0,112;-0,119;-0,043;-0,037;-0,079;-0,063;-0,036;-0,167;-0,027;-0,203;-0,101;-0,119;-0,018;
2023-03-20;-0,036;-0,062;-0,065;0,029;-0,106;-0,115;-0,043;-0,036;-0,081;-0,071;-0,036;-0,170;-0,027;-0,205;-0,100;-0,113;-0,012;
2023-03-21;-0,041;-0,066;-0,068;0,028;-0,104;-0,115;-0,044;-0,038;-0,082;-0,073;-0,036;-0,162;-0,028;-0,203;-0,096;-0,108;-0,014;
2023-03-22;-0,035;-0,061;-0,063;0,029;-0,102;-0,114;-0,045;-0,041;-0,093;-0,070;-0,036;-0,157;-0,030;-0,204;-0,095;-0,106;-0,015;
2023-03-23;-0,029;-0,062;-0,063;0,025;-0,104;-0,116;-0,043;-0,039;-0,100;-0,071;-0,036;-0,159;-0,028;-0,201;-0,096;-0,110;-0,016;
2023-03-24;-0,030;-0,061;-0,061;0,025;-0,111;-0,121;-0,041;-0,034;-0,108;-0,069;-0,035;-0,168;-0,025;-0,207;-0,099;-0,116;-0,016;
2023-03-27;-0,032;-0,057;-0,059;0,035;-0,106;-0,116;-0,043;-0,038;-0,106;-0,071;-0,035;-0,164;-0,028;-0,205;-0,097;-0,111;;
2023-03-28;;;;;;;;;;;;;;;;;-0,014;
2023-03-29;-0,026;-0,056;-0,058;0,033;-0,103;-0,113;-0,043;-0,037;-0,109;-0,066;-0,035;-0,160;-0,028;-0,200;-0,095;-0,108;-0,007;
2023-03-30;-0,021;-0,049;-0,053;0,036;-0,092;-0,101;-0,044;-0,040;-0,089;-0,069;-0,035;-0,154;-0,029;-0,193;-0,090;-0,098;-0,000;
2023-03-31;-0,022;-0,048;-0,050;0,037;-0,084;-0,093;-0,043;-0,039;-0,081;-0,063;-0,035;-0,152;-0,029;-0,188;-0,086;-0,090;0,003;
2023-04-03;-0,019;-0,047;-0,050;0,038;-0,085;-0,096;-0,042;-0,036;-0,079;-0,062;-0,035;-0,151;-0,029;-0,188;-0,085;-0,091;;
2023-04-04;;;;;;;;;;;;;;;;;-0,004;
2023-04-05;-0,026;-0,050;-0,052;0,039;-0,093;-0,100;-0,040;-0,033;-0,082;-0,058;-0,035;-0,157;-0,027;-0,187;-0,087;-0,094;-0,010;
2023-04-06;-0,023;-0,050;-0,052;0,043;-0,090;-0,097;-0,040;-0,033;-0,076;-0,052;-0,035;-0,153;-0,026;-0,185;-0,085;-0,091;-0,010;
2023-04-11;-0,013;-0,043;-0,046;0,051;-0,084;-0,087;-0,042;-0,037;-0,069;-0,052;-0,035;-0,148;-0,029;-0,180;-0,083;-0,086;-0,002;
2023-04-12;-0,019;-0,044;-0,048;0,049;-0,081;-0,084;-0,043;-0,039;-0,056;-0,055;-0,035;-0,149;-0,030;-0,178;-0,080;-0,082;-0,004;
2023-04-13;-0,020;-0,044;-0,049;0,047;-0,082;-0,085;-0,042;-0,038;-0,059;-0,056;-0,034;-0,151;-0,029;-0,179;-0,081;-0,083;-0,001;
2023-04-14;-0,021;-0,043;-0,044;0,052;-0,074;-0,076;-0,043;-0,039;-0,041;-0,055;-0,034;-0,144;-0,030;-0,174;-0,077;-0,076;-0,001;
2023-04-17;-0,019;-0,043;-0,043;0,054;-0,074;-0,078;;;-0,038;-0,057;-0,034;-0,147;-0,032;-0,172;-0,077;-0,076;0,003;
2023-04-18;-0,020;-0,042;-0,044;0,050;-0,074;-0,080;-0,044;-0,043;-0,044;-0,058;-0,034;-0,144;-0,033;-0,172;-0,077;-0,076;0,001;
2023-04-19;-0,025;-0,045;-0,047;0,050;-0,073;-0,079;-0,045;-0,047;-0,050;-0,060;-0,034;-0,143;-0,034;-0,175;-0,079;-0,079;-0,001;
2023-04-20;-0,025;-0,043;-0,045;0,051;-0,078;-0,086;-0,044;-0,044;-0,052;-0,060;-0,034;-0,142;-0,034;-0,179;-0,079;-0,079;-0,001;
2023-04-21;-0,031;-0,041;-0,043;0,054;-0,075;-0,085;-0,044;-0,045;-0,054;-0,058;-0,034;-0,144;-0,033;-0,182;-0,080;-0,079;-0,001;
2023-04-24;-0,034;-0,042;-0,045;0,054;-0,075;-0,086;-0,044;-0,045;-0,057;-0,058;-0,034;-0,144;-0,034;-0,181;-0,078;-0,076;;
2023-04-25;;;;;;;;;;;;;;;;;-0,006;
2023-04-26;-0,043;-0,050;-0,053;0,038;-0,083;-0,087;-0,041;-0,039;-0,074;-0,054;-0,034;-0,149;-0,030;-0,177;-0,079;-0,081;-0,017;
2023-04-27;-0,040;-0,044;-0,043;0,044;-0,074;-0,080;-0,042;-0,039;-0,061;-0,051;-0,033;-0,148;-0,030;-0,172;-0,077;-0,075;-0,008;
2023-04-28;-0,037;-0,042;-0,040;0,047;-0,072;-0,077;-0,040;-0,036;-0,059;-0,046;-0,033;-0,144;-0,029;-0,169;-0,075;-0,071;-0,005;
2023-05-02;-0,040;-0,044;-0,042;0,050;-0,077;-0,083;-0,039;-0,036;-0,073;-0,045;-0,033;-0,144;-0,029;-0,171;-0,077;-0,073;-0,008;
2023-05-03;-0,042;-0,042;-0,042;0,047;-0,077;-0,084;-0,040;-0,036;-0,077;-0,048;-0,033;-0,147;-0,028;-0,174;-0,076;-0,074;-0,005;
2023-05-04;-0,041;-0,046;-0,045;0,043;-0,077;-0,082;-0,038;-0,035;-0,079;-0,043;-0,033;-0,154;-0,028;-0,178;-0,078;-0,077;-0,004;
2023-05-05;-0,041;-0,049;-0,048;0,047;-0,076;-0,075;-0,039;-0,035;-0,070;-0,048;-0,033;-0,153;-0,028;-0,170;-0,076;-0,076;-0,002;
