
# ;[];[];[];[];[];[];[];[];[];[];[];[];[seb aktiespar][seb aktiesparfond];[];[];[seb choice emerging markets][seb emerg market][seb emerging mark][seb emerging markets][seb emerging markets fund][seb emerging marketsfond];[];
# ;pictet indian equities r;pictet japanese equity opportunities r;pictet premium brands r;pictet security r;pictet timber r;pictet water r;pictet-emerging corporate bonds r ;prior & nilsson realinvest a;prior & nilsson sverige aktiv a;s-banken emerging markets esg aktie a;s-banken fenno aktie a;s-banken usa aktie a;seb aktiespar;seb asienfond ex japan;seb asset selection fund c;seb choice emerging markets;seb dynamic bond fund c;
2024-04-05;0,009;0,049;0,048;0,031;0,108;0,060;0,017;0,048;0,027;0,013;0,017;0,025;0,006;-0,004;0,121;0,021;-0,032;
2024-04-08;0,011;0,027;0,048;0,031;0,107;0,058;0,015;0,051;0,031;0,011;0,018;0,022;0,005;-0,009;0,124;0,019;-0,032;
2024-04-09;0,008;0,026;0,043;0,033;0,107;0,055;0,014;0,047;0,028;0,013;0,017;0,022;0,003;-0,006;0,123;0,023;-0,032;
2024-04-10;;0,024;0,042;0,026;0,099;0,054;0,012;0,039;0,028;0,017;0,015;0,023;0,006;0,005;0,127;0,029;-0,032;
2024-04-11;;0,030;0,046;0,031;0,104;0,057;0,017;0,037;0,025;0,019;0,018;0,030;0,008;0,005;0,128;0,031;-0,032;
2024-04-12;0,015;0,032;0,046;0,032;0,103;0,058;0,021;0,040;0,026;0,015;0,017;0,028;0,012;0,006;0,127;0,031;-0,031;
2024-04-15;0,014;0,036;0,050;0,035;0,106;0,062;0,023;0,040;0,028;0,012;0,017;0,024;0,013;0,001;0,128;0,025;-0,032;
2024-04-16;0,012;0,027;0,043;0,025;0,095;0,054;0,024;;;0,002;0,013;0,024;0,006;-0,005;0,124;0,018;-0,032;
2024-04-17;;0,023;0,049;0,027;0,097;0,056;0,025;0,036;0,024;0,002;0,013;0,022;0,009;-0,002;0,120;0,022;-0,032;
2024-04-18;0,007;0,021;0,048;0,018;0,093;0,055;;0,039;0,026;0,005;0,014;0,020;0,004;0,000;;;-0,032;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;;;;;;;0,021;;;;;;;;0,123;0,018;;
2024-04-24;0,016;0,020;0,057;0,029;0,096;0,058;;0,037;0,027;0,010;0,017;0,022;0,007;0,004;;;-0,032;
2024-04-25;;;;;;;0,020;;;;;;;;0,123;0,026;;
2024-04-26;0,017;0,016;0,057;0,031;0,097;0,061;0,021;0,039;0,030;0,021;0,020;0,029;0,012;0,013;0,130;0,035;-0,032;
2024-04-29;0,021;;0,059;0,033;0,100;0,065;0,024;0,046;0,033;0,025;0,024;0,030;0,014;0,016;0,127;0,037;-0,032;
2024-04-30;0,023;0,027;0,058;0,034;0,098;0,066;0,025;0,048;0,034;0,024;0,022;0,024;0,014;0,018;0,128;0,036;;
2024-05-02;0,020;0,023;0,049;0,021;0,099;0,062;0,023;0,047;0,029;0,028;0,022;0,027;0,007;0,019;0,121;0,038;-0,032;
2024-05-03;0,020;;0,053;0,029;0,107;0,065;0,023;0,049;0,029;0,029;0,024;0,027;0,010;0,019;;;-0,030;
2024-05-06;;;;;;;;;;;;;;;0,124;0,041;;
2024-05-07;0,015;0,027;0,052;0,032;0,104;0,068;0,023;0,058;0,039;0,031;0,029;0,031;0,018;0,022;0,128;0,041;-0,029;
2024-05-08;0,020;0,024;0,055;0,035;0,106;0,074;0,027;0,057;0,040;0,034;0,033;0,035;0,022;0,024;0,129;0,043;;
2024-05-10;0,017;0,024;0,056;0,042;0,110;0,076;0,024;0,059;0,045;0,034;0,037;0,036;0,022;0,027;0,132;0,044;-0,029;
2024-05-13;0,017;0,023;0,057;0,041;0,111;0,076;0,025;0,061;0,046;0,037;0,039;0,034;0,022;0,031;0,132;0,046;-0,028;
2024-05-14;0,018;0,023;0,058;0,042;0,114;0,073;0,025;0,064;0,047;0,039;0,043;0,036;0,022;0,033;0,133;0,047;-0,028;
2024-05-15;0,015;0,021;0,057;0,045;0,113;0,075;0,023;0,068;0,047;0,038;0,043;0,038;0,025;;0,131;0,045;-0,027;
2024-05-16;0,018;0,024;0,053;0,043;0,110;0,070;0,020;0,068;0,044;0,039;0,043;0,033;0,026;0,037;0,130;0,050;-0,027;
2024-05-17;0,021;0,022;0,056;0,044;0,110;0,070;0,022;0,067;0,043;0,041;0,043;0,034;0,025;0,037;0,132;0,050;-0,027;
2024-05-20;;;;;;;;0,066;0,046;0,042;0,045;0,035;0,027;0,036;;0,050;;
2024-05-21;0,017;0,020;0,052;0,041;0,108;0,068;0,020;0,067;0,046;0,036;0,043;0,036;0,026;0,034;0,135;0,048;-0,026;
2024-05-22;0,016;0,017;0,049;0,045;0,107;0,069;0,021;0,072;0,047;0,035;0,042;0,037;0,029;0,038;0,135;0,051;-0,026;
2024-05-23;0,021;0,018;0,047;0,044;0,105;0,064;0,021;0,065;0,049;0,033;0,041;0,035;0,030;0,037;0,137;0,050;-0,027;
2024-05-24;0,022;0,019;0,047;0,042;0,106;0,061;;0,062;0,047;0,028;0,041;0,038;0,026;0,032;0,136;0,043;-0,027;
2024-05-27;0,019;0,018;;;;;;0,063;0,047;0,029;0,040;0,035;;0,034;;;-0,026;
2024-05-28;;;;;;;0,015;;;;;;;;0,138;0,042;;
2024-05-29;0,011;0,008;0,038;0,030;0,093;0,047;0,014;0,057;0,040;0,018;0,028;0,033;0,018;0,027;0,137;0,039;-0,027;
2024-05-30;0,010;0,014;0,041;0,030;0,098;0,047;0,018;0,063;0,042;0,014;0,031;0,028;0,015;0,020;0,134;0,032;-0,027;
2024-05-31;0,006;0,015;0,038;0,025;0,097;0,046;;0,067;0,045;0,005;0,030;0,028;0,009;0,013;;;-0,027;
2024-06-03;;;;;;;0,014;;;;;;;;0,134;0,028;;
2024-06-04;-0,009;0,013;0,039;0,017;0,090;0,040;0,011;0,066;0,042;0,007;0,024;0,025;0,010;0,011;0,129;0,022;-0,025;
2024-06-05;0,009;1,010;0,038;0,020;0,087;0,039;0,011;0,065;0,044;0,010;0,024;0,030;0,012;0,012;0,131;0,025;;
2024-06-07;0,016;0,010;0,040;0,022;0,081;0,039;0,008;0,058;0,045;0,011;0,023;0,028;0,021;0,023;0,134;0,034;-0,026;
2024-06-10;0,024;0,018;0,041;0,033;0,086;0,042;0,016;0,056;0,043;0,016;0,023;0,039;0,018;;0,138;;-0,026;
2024-06-11;0,019;0,011;0,036;0,031;0,081;0,039;0,015;0,050;0,041;0,011;0,016;0,036;0,016;0,019;0,136;0,030;-0,026;
2024-06-12;0,023;0,012;0,038;0,040;0,089;0,043;0,014;0,056;0,047;0,005;0,020;0,033;0,019;0,013;0,135;0,024;-0,024;
2024-06-13;0,017;0,002;0,034;0,032;0,079;0,040;0,010;0,055;0,041;0,009;0,016;0,034;0,021;0,023;0,131;0,033;-0,024;
2024-06-14;0,026;0,005;0,036;0,037;0,083;0,043;0,018;0,049;0,036;0,015;0,011;0,040;0,024;0,029;0,125;0,037;-0,023;
2024-06-17;;0,003;0,033;0,035;0,081;0,040;0,017;0,045;0,036;0,011;0,011;0,041;0,021;0,026;0,126;0,036;-0,024;
2024-06-18;0,027;0,001;0,033;0,037;0,082;0,042;0,015;0,045;0,037;0,010;0,013;0,041;0,021;0,024;0,128;0,036;-0,023;
