
# ;[];[];[];[];[];[];[];[];[];[kotak funds - india growth fund][kotak funds - india esg a];[];[kpa blandfond][kpa etisk blandfond 2];[];[];[];[];[];
# ;holberg global a;holberg norden;holberg norge;humle småbolagsfond a;indecap guide 1 c;indecap guide 2 c;indecap guide sverige c;jpmorgan china a;jpmorgan funds - europe sustainable equity fund;kotak funds - india growth fund;kotak funds - india midcap a;kpa blandfond;lannebo europa småbolag a;lannebo mixfond;lannebo mixfond offensiv a;lannebo räntefond kort;lannebo småbolag;
2024-04-12;0,032;-0,003;-0,045;-0,011;-0,005;0,014;0,007;-0,025;;0,028;0,033;-0,001;0,001;0,007;0,013;-0,018;-0,012;
2024-04-15;0,028;-0,003;-0,048;-0,010;-0,005;0,014;0,008;-0,021;;0,028;0,029;-0,000;0,000;0,009;0,015;-0,018;-0,009;
2024-04-16;0,028;-0,008;-0,052;-0,017;-0,006;0,010;0,003;-0,028;;0,028;0,030;-0,006;-0,008;0,002;0,006;-0,018;-0,020;
2024-04-17;0,029;-0,006;-0,049;-0,018;-0,005;0,012;0,005;-0,025;;;;-0,004;-0,004;0,003;0,007;-0,018;-0,019;
2024-04-18;0,028;-0,011;-0,053;-0,018;;;;-0,024;;0,024;0,027;-0,006;-0,008;0,001;0,005;-0,018;-0,022;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;;;;;-0,003;0,017;0,013;;;;;;;;;;;
2024-04-24;0,031;-0,004;-0,044;-0,013;;;;-0,006;;0,030;0,032;-0,003;-0,005;0,004;0,009;-0,017;-0,011;
2024-04-25;;;;;-0,004;0,014;0,007;;;;;;;;;;;
2024-04-26;0,035;-0,009;-0,044;-0,007;-0,003;0,020;0,012;0,007;;0,034;0,037;-0,001;-0,000;0,005;0,010;-0,017;-0,012;
2024-04-29;0,033;-0,005;-0,040;-0,001;-0,002;0,022;0,016;0,011;;0,039;0,041;0,001;0,004;0,007;0,013;-0,017;-0,009;
2024-04-30;0,033;-0,003;-0,038;0,000;-0,002;0,021;0,016;0,011;;;;0,001;0,009;0,008;0,014;-0,017;-0,005;
2024-05-02;0,031;-0,010;-0,043;-0,005;-0,003;0,018;0,012;0,019;;0,042;0,047;-0,002;0,003;0,005;0,009;-0,017;-0,010;
2024-05-03;0,032;-0,010;-0,041;-0,000;;;;0,026;;0,037;0,044;0,000;0,004;0,007;0,013;-0,016;-0,005;
