
# ;[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];[];
# ;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;seligson & co global top 25 pharmaceuticals a;
2023-05-24;-0,074;-0,013;;-0,083;-0,058;-0,037;-0,004;-0,018;-0,074;-0,064;-0,002;-0,051;-0,050;-0,154;-0,008;0,014;0,072;
2023-05-25;-0,069;-0,010;;-0,078;-0,059;-0,038;-0,001;-0,011;-0,073;-0,062;-0,008;-0,050;-0,049;-0,154;-0,008;0,014;0,073;
2023-05-26;-0,066;-0,009;;-0,074;-0,059;-0,038;-0,000;-0,011;;-0,060;-0,009;;-0,045;;;;;
2023-05-29;;;;;;;;;-0,069;;;-0,046;;;-0,003;0,021;0,071;
2023-05-30;-0,062;-0,006;;-0,070;-0,057;-0,036;0,000;-0,004;-0,068;-0,058;-0,008;-0,044;-0,043;-0,146;-0,002;0,022;0,071;
2023-05-31;-0,067;-0,007;;-0,075;-0,057;-0,036;-0,004;-0,009;-0,072;-0,059;-0,008;-0,046;-0,044;-0,148;0,004;0,019;0,070;
2023-06-01;-0,066;-0,003;;-0,074;-0,056;-0,035;-0,001;-0,011;-0,073;-0,057;-0,008;-0,048;-0,047;-0,145;0,002;0,017;0,071;
2023-06-02;-0,063;0,001;;-0,071;-0,055;-0,036;0,000;-0,007;-0,066;-0,055;-0,008;-0,039;-0,038;-0,135;0,002;0,018;0,068;
2023-06-05;-0,055;0,003;;-0,062;-0,055;-0,037;0,010;0,001;-0,062;-0,054;;-0,035;-0,034;-0,133;-0,001;0,024;0,075;
2023-06-07;-0,054;0,005;;-0,062;-0,055;-0,037;0,006;0,012;-0,059;-0,054;-0,009;-0,034;-0,033;-0,133;0,001;0,026;0,077;
2023-06-08;-0,055;0,002;;-0,063;-0,054;-0,037;0,005;0,010;-0,059;-0,054;-0,010;-0,037;-0,037;;-0,001;0,022;0,074;
2023-06-09;-0,052;0,003;;-0,059;-0,054;-0,037;0,008;0,012;-0,060;-0,053;-0,010;-0,036;-0,036;-0,132;0,001;0,022;0,076;
2023-06-12;-0,052;0,010;;-0,059;-0,054;-0,036;0,008;0,013;-0,061;-0,052;-0,010;-0,036;-0,035;-0,135;0,002;0,023;0,076;
2023-06-13;-0,049;0,011;;-0,056;-0,054;-0,037;0,009;0,016;-0,058;-0,052;-0,010;-0,031;-0,031;-0,142;0,000;0,024;0,074;
2023-06-14;-0,050;0,011;;-0,057;-0,054;-0,037;0,005;0,013;-0,060;-0,052;-0,011;-0,033;-0,032;-0,139;-0,004;0,023;0,071;
2023-06-15;-0,050;0,008;;-0,058;-0,053;-0,038;0,005;0,009;-0,062;-0,051;-0,011;-0,035;-0,035;-0,133;-0,002;0,028;0,070;
2023-06-16;-0,049;0,014;;-0,055;-0,053;-0,038;0,008;0,010;-0,058;-0,051;-0,012;-0,033;-0,033;-0,131;-0,001;0,027;0,071;
2023-06-19;;0,009;;;;-0,038;;;-0,061;;-0,012;-0,039;-0,038;-0,132;0,001;0,029;0,072;
2023-06-20;-0,045;0,008;;-0,051;-0,054;-0,037;0,009;0,016;-0,062;-0,050;-0,011;-0,040;-0,039;-0,132;0,004;0,030;0,074;
2023-06-21;-0,050;-0,001;;-0,056;-0,055;-0,037;0,007;0,012;-0,068;-0,054;-0,012;-0,047;-0,047;-0,128;0,008;0,030;0,075;
2023-06-22;-0,054;-0,007;;-0,060;-0,056;;0,006;0,007;-0,074;-0,054;;-0,051;-0,051;-0,130;0,005;0,024;0,067;
2023-06-26;-0,053;-0,012;;-0,059;;;0,002;0,008;-0,075;;-0,012;-0,052;-0,051;;0,006;0,026;0,068;
2023-06-27;;;;;-0,056;-0,037;;;;-0,054;;;;-0,137;;;;
2023-06-28;-0,046;-0,006;;-0,052;-0,056;-0,037;0,005;0,018;-0,071;-0,051;-0,012;-0,048;-0,047;-0,136;0,008;0,027;0,062;
2023-06-29;-0,040;-0,003;;-0,046;-0,056;-0,038;0,009;0,026;-0,067;-0,051;-0,013;-0,045;-0,044;-0,127;0,010;0,032;0,066;
2023-06-30;-0,039;0,001;;-0,045;-0,055;-0,038;0,010;0,027;-0,063;-0,049;-0,013;-0,040;-0,039;-0,126;0,007;0,036;0,067;
2023-07-03;-0,036;-0,002;;-0,043;;-0,039;0,007;0,026;-0,064;;-0,014;-0,047;-0,047;-0,123;0,007;0,039;0,069;
2023-07-04;;0,001;;;;;;;-0,063;;-0,014;-0,045;-0,045;;0,006;0,040;0,064;
2023-07-05;;;;;-0,056;-0,038;;;;-0,049;;;;-0,126;;;;
2023-07-06;-0,038;-0,006;;-0,044;-0,058;-0,039;0,008;0,022;-0,071;-0,051;-0,015;-0,055;-0,054;-0,126;0,007;0,039;0,068;
2023-07-07;-0,040;-0,003;;-0,045;-0,057;-0,039;0,005;0,023;-0,071;-0,053;-0,014;-0,054;-0,054;-0,121;0,005;0,035;0,062;
2023-07-10;-0,042;-0,004;;-0,047;-0,057;-0,039;0,002;0,024;-0,072;-0,053;-0,015;-0,056;-0,056;-0,120;0,003;0,029;0,053;
2023-07-11;-0,044;-0,005;;-0,050;-0,056;-0,039;-0,004;0,024;-0,073;-0,054;-0,016;-0,057;-0,057;-0,119;0,002;0,027;0,052;
2023-07-12;-0,047;-0,005;;-0,054;-0,052;-0,037;-0,012;0,020;-0,073;-0,055;-0,015;-0,056;-0,056;-0,115;-0,001;0,026;0,048;
2023-07-13;-0,054;-0,005;;-0,059;-0,050;-0,036;-0,018;0,013;-0,072;-0,056;-0,012;-0,055;-0,055;-0,122;-0,003;0,020;0,041;
2023-07-14;-0,052;-0,006;;-0,058;-0,051;-0,036;-0,015;0,013;-0,075;-0,056;-0,011;-0,060;-0,060;-0,123;-0,006;0,018;0,036;
2023-07-17;-0,052;-0,013;;-0,058;-0,052;-0,036;-0,013;0,014;-0,078;-0,055;-0,011;-0,064;-0,065;-0,122;-0,006;0,017;0,037;
2023-07-18;-0,050;-0,012;;-0,056;-0,051;-0,035;-0,012;0,018;-0,076;-0,054;-0,009;-0,062;-0,063;-0,121;-0,003;0,015;0,037;
2023-07-19;-0,049;-0,007;;-0,054;-0,050;-0,035;-0,010;0,018;-0,076;-0,052;-0,008;-0,061;-0,062;-0,117;-0,001;0,018;0,042;
2023-07-20;-0,047;-0,009;;-0,052;-0,052;-0,036;-0,007;0,019;-0,075;-0,053;-0,009;-0,059;-0,060;-0,117;-0,003;0,020;0,044;
2023-07-21;-0,044;-0,011;;-0,050;-0,051;-0,036;-0,001;0,023;-0,075;-0,052;-0,009;-0,058;-0,059;-0,116;-0,002;0,022;0,053;
2023-07-24;-0,045;-0,009;;-0,051;-0,051;-0,035;-0,001;0,024;-0,073;-0,052;-0,008;-0,056;-0,057;-0,115;0,000;0,025;0,059;
2023-07-25;-0,043;-0,009;;-0,049;-0,051;-0,035;-0,002;0,024;-0,070;-0,051;-0,009;-0,052;-0,053;-0,118;-0,005;0,024;0,052;
2023-07-26;-0,043;-0,009;;-0,049;-0,051;-0,036;-0,006;0,025;-0,076;-0,050;-0,009;-0,058;-0,058;-0,118;-0,005;0,022;0,053;
