
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;sensor sverige select;simplicity företagsobligationer a;simplicity global corporate bond a;simplicity likviditet a;skagen focus d;skagen global e;skagen kon-tiki f;skagen m2 c;skagen vekst c;skandia balanserad;skandia europa exponering;skandia försiktig;skandia global exponering a;skandia japan exponering;skandia korträntefond;skandia nordamerika exponering;skandia obligationsfond;
2023-03-23;-0,059;-0,063;-0,071;-0,040;-0,026;-0,101;-0,057;-0,049;-0,090;-0,075;-0,095;-0,059;-0,119;-0,085;-0,035;-0,130;-0,037;
2023-03-24;-0,063;-0,064;-0,073;-0,040;-0,020;-0,091;-0,050;-0,040;-0,090;-0,076;-0,099;-0,058;-0,120;-0,076;-0,035;-0,130;-0,036;
2023-03-27;-0,060;-0,064;-0,074;-0,039;-0,021;-0,092;-0,055;-0,040;-0,089;-0,074;-0,095;-0,058;-0,116;-0,080;-0,035;-0,125;-0,037;
2023-03-28;;;;;;;;;;;;;;;;;;
2023-03-29;-0,057;-0,065;-0,075;-0,039;-0,013;-0,085;-0,044;-0,035;-0,081;-0,072;-0,088;-0,057;-0,112;-0,075;-0,035;-0,123;-0,037;
2023-03-30;-0,052;-0,064;-0,072;-0,039;-0,007;-0,081;-0,039;-0,026;-0,075;-0,069;-0,083;-0,056;-0,110;-0,077;-0,035;-0,121;-0,038;
2023-03-31;-0,050;-0,064;-0,072;-0,039;-0,007;-0,077;-0,037;-0,022;-0,074;-0,066;-0,080;-0,054;-0,108;-0,073;-0,035;-0,119;-0,038;
2023-04-03;-0,050;-0,063;-0,069;-0,039;-0,011;-0,084;-0,043;-0,028;-0,079;-0,064;-0,080;-0,053;-0,103;-0,068;-0,035;-0,113;-0,037;
2023-04-04;;;;;;;;;;;;;;;;;;
2023-04-05;-0,050;-0,062;-0,068;-0,039;-0,011;-0,083;-0,041;-0,026;-0,078;-0,066;-0,080;-0,053;-0,106;-0,071;-0,035;-0,117;-0,036;
2023-04-06;-0,049;-0,063;-0,068;-0,039;;;;;;-0,064;-0,076;-0,052;-0,104;-0,073;-0,035;-0,115;-0,035;
2023-04-11;-0,046;-0,063;-0,068;-0,039;-0,000;-0,073;-0,026;-0,012;-0,067;-0,063;-0,073;-0,052;-0,101;-0,073;-0,035;-0,112;-0,037;
2023-04-12;-0,046;-0,062;-0,068;-0,038;-0,006;-0,083;-0,035;-0,021;-0,074;-0,063;-0,074;-0,052;-0,104;-0,074;-0,035;-0,116;-0,037;
2023-04-13;-0,045;-0,062;-0,068;-0,038;-0,004;-0,078;-0,035;-0,021;-0,071;-0,064;-0,073;-0,053;-0,107;-0,073;-0,034;-0,120;-0,037;
2023-04-14;-0,043;-0,062;-0,067;-0,038;-0,001;-0,075;-0,032;-0,019;-0,066;;;;;;;;;
2023-04-17;-0,044;-0,061;-0,067;-0,038;0,002;-0,071;-0,026;-0,013;-0,061;-0,061;-0,071;-0,052;-0,102;-0,073;-0,034;-0,113;-0,039;
2023-04-18;-0,043;-0,061;-0,066;-0,038;0,001;-0,073;-0,026;-0,019;-0,063;-0,061;-0,070;-0,052;-0,101;-0,071;-0,034;-0,112;-0,039;
2023-04-19;-0,043;-0,061;-0,067;-0,038;0,002;-0,068;-0,029;-0,018;-0,064;-0,063;-0,070;-0,054;-0,102;-0,071;-0,034;-0,114;-0,040;
2023-04-20;-0,044;-0,060;-0,067;-0,038;-0,002;-0,070;-0,031;-0,021;-0,067;-0,064;-0,071;-0,054;-0,103;-0,071;-0,034;-0,115;-0,040;
2023-04-21;-0,044;-0,060;-0,067;-0,038;-0,008;-0,070;-0,039;-0,023;-0,070;-0,064;-0,069;-0,054;-0,102;-0,071;-0,034;-0,115;-0,040;
2023-04-24;-0,041;-0,060;-0,068;-0,038;-0,008;-0,071;-0,042;-0,025;-0,069;;;;;;;;;
2023-04-25;;;;;;;;;;;;;;;;;;
2023-04-26;-0,042;-0,061;-0,068;-0,037;-0,011;-0,082;-0,045;-0,028;-0,074;-0,066;-0,071;-0,053;-0,108;-0,073;-0,034;-0,122;-0,037;
2023-04-27;-0,042;-0,060;-0,068;-0,037;-0,010;-0,074;-0,041;-0,021;-0,071;-0,063;-0,070;-0,052;-0,106;-0,072;-0,034;-0,119;-0,037;
2023-04-28;-0,043;-0,060;-0,068;-0,037;-0,006;-0,068;-0,035;-0,013;-0,066;-0,061;-0,069;-0,051;-0,101;-0,074;-0,034;-0,114;-0,036;
2023-05-02;-0,046;-0,060;-0,068;-0,037;-0,006;-0,070;-0,038;-0,022;-0,070;-0,061;-0,070;-0,051;-0,100;-0,072;-0,033;-0,111;-0,037;
2023-05-03;-0,047;-0,060;-0,068;-0,037;-0,011;-0,078;-0,044;-0,025;-0,074;-0,063;-0,070;-0,051;-0,103;;-0,033;-0,115;-0,036;
2023-05-04;-0,048;-0,060;-0,068;-0,037;-0,012;-0,082;-0,042;-0,023;-0,077;-0,064;-0,073;-0,052;-0,108;;-0,033;-0,122;-0,035;
2023-05-05;-0,047;-0,060;-0,068;-0,037;-0,012;-0,080;-0,042;-0,021;-0,076;-0,064;-0,073;-0,052;-0,107;;-0,033;-0,120;-0,035;
